fecha,casos,altas,fallecimientos,ingresos_uci,hospitalizados
26/02/2020,0,0,0,0,0
27/02/2020,4,0,0,0,0
28/02/2020,4,0,0,0,0
29/02/2020,6,0,0,0,0
01/03/2020,6,0,0,0,0
02/03/2020,6,0,0,0,0
03/03/2020,7,0,0,0,0
04/03/2020,7,0,0,0,0
05/03/2020,9,0,0,0,0
06/03/2020,18,0,0,0,0
07/03/2020,22,0,0,0,0
08/03/2020,27,0,0,0,0
09/03/2020,42,0,0,0,0
10/03/2020,59,0,0,0,0
11/03/2020,67,0,0,0,0
12/03/2020,97,0,0,0,0
13/03/2020,128,0,2,0,46
14/03/2020,180,0,4,0,81
15/03/2020,235,0,5,0,85
16/03/2020,278,0,6,0,97
17/03/2020,333,0,10,0,113
18/03/2020,361,0,13,0,93
19/03/2020,424,0,17,0,109
20/03/2020,484,0,20,0,161
21/03/2020,505,0,21,0,169
22/03/2020,520,34,21,0,192
23/03/2020,665,46,26,0,333
24/03/2020,819,48,40,0,431
25/03/2020,905,52,42,0,490
26/03/2020,1006,61,46,40,540
27/03/2020,1053,80,56,48,575
28/03/2020,1158,81,64,57,642
29/03/2020,1321,83,69,61,725
30/03/2020,1349,83,70,61,745
31/03/2020,1464,93,77,65,815
01/04/2020,1644,101,93,74,917
02/04/2020,1725,110,98,77,968
03/04/2020,1800,162,110,33,1010
04/04/2020,1863,211,118,94,1057
05/04/2020,1916,258,121,96,1087
06/04/2020,1932,289,125,97,1095
07/04/2020,2006,318,140,107,1130
08/04/2020,2074,355,147,111,1158
09/04/2020,2127,451,154,123,1182
10/04/2020,2143,523,170,137,1199
11/04/2020,2203,558,183,142,1239
12/04/2020,2217,583,183,143,1240
13/04/2020,2240,597,184,145,1253
14/04/2020,2321,664,201,156,1284
15/04/2020,2363,772,211,156,1302
16/04/2020,2429,809,214,157,1317
17/04/2020,2472,835,217,158,1325
18/04/2020,2531,869,223,158,1346
19/04/2020,2546,873,223,158,1350
20/04/2020,2552,877,223,158,1353
21/04/2020,2657,956,232,159,1376
22/04/2020,2741,1054,237,161,1377
23/04/2020,2839,1119,241,161,1383
